EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2000-9-1,34,27,19,23,16,12,88,63,36,1013,1009,1005,10,9,4,60,10,77,0.00,5,Rain,348
2000-9-2,31,23,17,19,16,13,94,66,33,1008,1007,1006,10,10,10,26,5,,0.00,1,,287
2000-9-3,33,26,19,20,16,11,78,58,29,1008,1007,1005,10,10,10,26,5,,0.00,2,,250
2000-9-4,33,26,18,20,17,12,78,60,28,1009,1008,1007,10,10,10,23,8,,0.00,1,,181
2000-9-5,30,25,20,19,16,11,83,59,37,1010,1008,1006,10,10,10,47,10,64,0.00,4,,343
2000-9-6,23,20,17,12,7,3,64,42,31,1013,1012,1010,10,10,10,52,43,71,0.00,1,,337
2000-9-7,25,20,16,7,5,2,49,37,25,1013,1012,1009,10,10,10,34,19,48,0.00,1,,316
2000-9-8,25,19,14,14,12,7,82,61,44,1021,1016,1012,10,10,10,14,6,,0.00,4,,157
2000-9-9,26,21,16,14,11,9,77,55,36,1025,1024,1021,10,10,10,19,3,,0.00,5,,229
2000-9-10,24,20,17,17,12,10,68,58,47,1025,1023,1020,10,10,10,27,8,,0.00,5,Rain,309
2000-9-11,25,20,15,15,12,7,78,60,44,1019,1015,1012,10,10,10,23,5,,0.00,6,,300
2000-9-12,26,22,18,18,16,14,83,67,47,1013,1012,1011,10,10,8,21,11,,0.00,6,Rain,310
2000-9-13,30,23,17,20,16,12,83,63,40,1017,1015,1013,10,9,8,16,5,,0.00,1,,261
2000-9-14,31,23,16,19,14,9,83,61,33,1016,1015,1014,10,10,10,19,8,,0.00,1,,144
2000-9-15,31,23,17,18,14,10,68,54,37,1015,1014,1012,10,10,8,19,6,,0.00,1,,210
2000-9-16,31,24,18,17,14,11,69,56,38,1016,1015,1014,10,10,8,26,6,,0.00,2,,176
2000-9-17,30,24,18,19,16,12,69,61,45,1015,1013,1011,10,10,10,24,5,,0.00,1,,175
2000-9-18,32,24,17,20,16,13,88,63,31,1013,1012,1011,10,6,1,26,5,,0.00,2,,189
2000-9-19,34,27,19,17,13,11,64,45,26,1015,1013,1011,10,10,10,13,6,,0.00,3,,81
2000-9-20,35,27,19,20,14,11,69,50,26,1016,1015,1013,10,10,10,19,6,,0.00,1,,192
2000-9-21,35,27,19,21,14,10,73,54,28,1016,1014,1011,10,9,8,16,5,,0.00,2,,126
2000-9-22,34,27,19,18,14,8,69,47,20,1011,1010,1008,10,10,10,37,6,,0.00,1,,285
2000-9-23,27,23,19,15,13,11,73,54,42,1017,1014,1011,10,10,10,37,31,50,0.00,2,,347
2000-9-24,23,20,18,17,14,12,83,65,53,1021,1019,1017,10,10,10,167,10,,0.00,5,Rain,106
2000-9-25,20,18,17,15,14,13,88,74,64,1025,1022,1021,10,10,10,14,6,,0.00,5,,147
2000-9-26,20,18,15,15,13,12,94,79,64,1024,1023,1022,10,8,3,13,6,,0.00,6,Rain,161
2000-9-27,22,18,14,14,11,9,88,65,43,1024,1022,1021,10,10,10,13,5,,0.00,3,,222
2000-9-28,22,17,12,14,10,8,77,64,50,1022,1021,1019,10,10,10,16,8,,0.00,1,,167
2000-9-29,24,17,11,14,11,7,82,68,50,1020,1019,1017,10,10,10,21,10,,0.00,2,,133
2000-9-30,25,19,13,16,12,9,83,67,44,1022,1020,1019,10,10,10,23,8,,0.00,2,,134
