EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-9-1,28,26,22,19,18,17,78,66,51,1021,1019,1018,10,10,10,23,10,,0.00,2,,168
2009-9-2,29,24,19,18,16,14,83,61,42,1019,1017,1014,10,10,10,21,10,,0.00,2,,147
2009-9-3,30,24,19,19,17,15,78,62,45,1015,1014,1012,10,10,10,26,10,,0.00,2,,161
2009-9-4,32,26,20,20,18,16,78,66,38,1014,1013,1012,10,10,10,19,10,,0.00,1,,170
2009-9-5,33,27,20,20,17,14,78,58,31,1013,1012,1011,10,10,10,21,8,,0.00,2,,165
2009-9-6,24,21,18,17,15,13,88,70,57,1015,1013,1011,10,10,5,39,18,55,0.00,6,Rain-Thunderstorm,341
2009-9-7,22,20,18,15,12,10,68,63,56,1016,1015,1014,10,10,10,32,23,45,0.00,6,Rain,343
2009-9-8,24,20,17,12,10,9,64,52,38,1017,1016,1015,10,10,10,34,23,,0.00,5,,9
2009-9-9,25,22,19,14,12,10,64,55,47,1019,1017,1017,10,10,10,19,6,,0.00,6,,318
2009-9-10,27,22,18,17,14,10,73,60,36,1019,1017,1015,10,10,10,19,8,,0.00,5,,196
2009-9-11,25,22,20,17,15,11,83,62,41,1015,1012,1010,10,10,10,27,10,32,0.00,6,Rain,328
2009-9-12,23,21,20,16,15,13,78,68,57,1014,1011,1009,10,10,8,34,18,,0.00,7,Rain,321
2009-9-13,26,22,18,17,14,10,83,63,36,1015,1014,1012,10,10,10,24,11,,0.00,5,Rain,302
2009-9-14,23,20,18,17,16,12,88,74,50,1018,1016,1015,10,10,10,16,6,,0.00,7,Rain,298
2009-9-15,27,21,15,17,16,14,100,72,45,1019,1018,1017,10,9,6,21,8,,0.00,2,,238
2009-9-16,28,22,17,18,16,14,83,71,42,1019,1018,1017,10,10,8,23,8,,0.00,3,,158
2009-9-17,27,23,19,19,17,14,94,71,45,1017,1014,1013,10,10,7,26,6,,0.00,5,Rain,170
2009-9-18,26,21,17,20,18,14,100,82,53,1015,1013,1013,10,9,5,21,8,,0.00,4,Rain-Thunderstorm,270
2009-9-19,23,20,18,20,18,16,100,86,65,1018,1016,1015,10,9,3,21,6,,0.00,6,Rain-Thunderstorm,317
2009-9-20,23,20,17,17,14,12,94,74,50,1019,1018,1018,10,10,10,21,6,,0.00,6,,156
2009-9-21,23,20,17,14,11,9,77,59,46,1023,1021,1019,10,10,10,14,10,,0.00,4,,144
2009-9-22,23,19,15,13,11,7,77,59,36,1025,1024,1023,10,10,10,16,10,,0.00,2,,170
2009-9-23,25,19,13,15,10,6,77,59,29,1027,1026,1024,10,10,10,16,8,,0.00,1,,177
2009-9-24,26,20,15,15,11,7,77,56,32,1025,1022,1019,10,10,10,19,8,,0.00,5,,162
2009-9-25,25,21,18,16,12,10,69,56,39,1019,1017,1016,10,10,10,14,8,,0.00,5,,174
2009-9-26,26,22,18,16,12,7,73,59,32,1023,1020,1018,10,10,10,24,6,,0.00,6,,137
2009-9-27,24,20,16,14,12,10,77,59,41,1026,1025,1023,10,10,10,19,8,,0.00,2,,152
2009-9-28,23,19,15,11,11,9,72,58,43,1025,1023,1020,10,10,10,16,10,,0.00,3,,151
2009-9-29,25,19,13,14,12,9,77,64,44,1020,1017,1014,,,,14,10,,0.00,,,152
2009-9-30,28,21,14,14,11,8,82,56,28,1017,1015,1014,10,10,10,23,10,,0.00,1,,158
