EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2007-9-1,33,28,24,23,20,16,79,64,43,1010,1008,1006,10,10,10,27,6,,0.00,3,Rain-Thunderstorm,279
2007-9-2,26,23,20,19,17,15,83,65,51,1013,1011,1009,10,10,10,35,16,,0.00,6,Rain-Thunderstorm,332
2007-9-3,28,24,20,20,17,14,100,64,42,1012,1011,1009,10,10,10,19,6,,0.00,3,Rain-Thunderstorm,273
2007-9-4,29,24,21,20,18,16,94,70,45,1011,1010,1008,10,10,8,21,8,,0.00,4,Rain-Thunderstorm,138
2007-9-5,28,23,19,19,16,10,88,66,39,1009,1007,1004,10,10,8,27,13,55,0.00,4,Rain-Thunderstorm,125
2007-9-6,24,20,16,9,6,2,56,43,25,1015,1013,1010,10,10,10,24,14,,0.00,1,,352
2007-9-7,21,17,14,11,8,5,77,59,40,1013,1011,1009,10,10,10,47,13,64,0.00,5,Rain,330
2007-9-8,22,18,15,10,6,3,72,48,29,1012,1011,1010,10,10,10,53,40,72,0.00,2,,338
2007-9-9,26,21,17,11,9,7,59,48,30,1013,1012,1011,10,10,10,29,14,,0.00,1,,324
2007-9-10,27,21,15,14,10,7,68,50,28,1016,1015,1013,10,10,10,19,6,,0.00,1,,219
2007-9-11,29,22,16,17,12,9,73,55,29,1015,1013,1010,10,10,10,24,10,,0.00,2,,134
2007-9-12,25,21,18,16,8,3,69,43,25,1017,1014,1011,10,10,10,40,21,60,0.00,3,,347
2007-9-13,25,21,17,11,7,5,49,41,36,1020,1019,1017,10,10,10,32,21,50,0.00,1,,343
2007-9-14,26,19,13,15,11,7,73,57,41,1022,1021,1019,10,10,10,24,5,,0.00,1,,162
2007-9-15,28,21,15,17,13,8,83,60,28,1019,1017,1016,10,10,10,35,11,,0.00,1,,310
2007-9-16,28,23,18,13,11,6,60,45,26,1022,1021,1018,10,10,10,40,14,,0.00,1,,312
2007-9-17,27,20,14,16,13,8,72,61,42,1022,1021,1019,10,10,10,19,8,,0.00,1,,177
2007-9-18,28,22,16,18,14,12,78,65,37,1019,1017,1014,10,10,10,21,8,,0.00,1,,169
2007-9-19,29,22,16,19,15,10,73,66,42,1014,1013,1011,10,10,10,29,6,,0.00,6,Rain-Thunderstorm,295
2007-9-20,22,19,17,17,15,13,94,79,64,1019,1016,1013,10,10,4,34,14,,0.00,7,Rain-Thunderstorm,345
2007-9-21,21,18,16,14,13,11,77,69,56,1024,1022,1019,10,10,8,27,16,,0.00,6,Rain,327
2007-9-22,21,18,15,13,12,9,82,66,53,1025,1024,1022,10,10,10,16,8,,0.00,4,Rain,160
2007-9-23,23,18,13,11,9,4,82,61,31,1024,1023,1022,10,10,10,19,8,,0.00,1,,145
2007-9-24,23,17,11,12,8,3,82,59,27,1023,1022,1020,10,10,10,14,8,,0.00,1,,174
2007-9-25,24,18,12,14,11,7,77,63,38,1020,1018,1015,,,,16,6,,0.00,,,156
2007-9-26,25,19,14,15,12,10,82,65,44,1016,1015,1013,10,10,10,19,11,,0.00,5,,140
2007-9-27,24,20,17,20,17,13,88,77,68,1017,1014,1013,10,10,7,14,3,,0.00,5,Rain,283
2007-9-28,27,21,16,20,18,15,100,82,51,1019,1017,1016,10,9,0,19,5,,0.00,2,,157
2007-9-29,28,22,17,20,17,13,100,76,45,1020,1018,1017,10,7,1,13,5,,0.00,3,,237
2007-9-30,28,22,17,18,16,14,88,69,42,1020,1019,1019,10,10,8,16,3,,0.00,3,,230
