EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2002-9-1,29,24,20,18,16,14,83,64,40,1015,1014,1012,10,10,10,21,8,,0.00,3,,215
2002-9-2,28,23,18,18,17,13,83,68,45,1018,1016,1015,10,10,10,19,5,,0.00,5,,330
2002-9-3,26,23,21,18,17,15,83,70,54,1020,1019,1018,10,10,7,21,6,,0.00,5,Thunderstorm,291
2002-9-4,28,24,20,19,17,15,83,70,48,1018,1016,1014,10,10,10,21,3,,0.00,3,Thunderstorm,49
2002-9-5,26,22,19,18,17,14,88,75,57,1016,1015,1014,10,9,5,23,5,,0.00,4,Rain-Thunderstorm,117
2002-9-6,29,23,17,18,16,13,88,69,40,1015,1014,1014,10,9,6,19,5,,0.00,2,,207
2002-9-7,28,23,18,19,17,15,83,72,45,1015,1014,1013,10,10,8,24,3,,0.00,4,Rain-Thunderstorm,233
2002-9-8,25,21,18,18,16,15,88,72,54,1015,1014,1014,10,10,6,19,5,,0.00,4,Rain,315
2002-9-9,28,22,17,18,16,15,88,71,48,1017,1015,1015,10,9,7,14,3,,0.00,2,,280
2002-9-10,24,20,17,18,16,13,88,74,57,1015,1014,1012,10,8,6,21,6,,0.00,6,Rain,13
2002-9-11,28,21,15,17,14,13,94,69,39,1012,1011,1010,10,9,6,16,6,,0.00,1,Thunderstorm,263
2002-9-12,27,22,17,17,15,13,82,64,44,1015,1012,1012,10,9,6,21,6,,0.00,4,,292
2002-9-13,24,20,16,16,14,12,94,68,50,1017,1016,1015,10,10,8,26,14,,0.00,6,Rain,318
2002-9-14,21,18,15,15,14,13,94,78,64,1017,1015,1013,10,9,7,29,6,,0.00,6,Rain,321
2002-9-15,20,17,14,16,14,12,94,84,73,1014,1013,1011,10,8,5,19,6,,0.00,7,Rain,67
2002-9-16,24,20,17,16,12,9,94,64,41,1015,1012,1010,10,10,8,26,13,,0.00,3,Rain,335
2002-9-17,24,20,17,12,8,6,60,47,31,1018,1016,1015,10,10,10,16,13,,0.00,2,,318
2002-9-18,25,18,12,13,11,8,82,59,36,1017,1016,1016,10,10,10,14,3,,0.00,1,,284
2002-9-19,27,20,14,16,12,9,82,64,32,1019,1018,1017,10,10,10,14,8,,0.00,1,,170
2002-9-20,27,20,14,18,14,10,78,67,48,1020,1019,1017,10,10,10,13,5,,0.00,1,,242
2002-9-21,27,21,16,20,16,13,83,72,54,1018,1016,1014,10,10,10,24,3,,0.00,1,,265
2002-9-22,27,21,16,20,17,13,83,73,54,1014,1012,1009,10,9,8,24,5,,0.00,3,,246
2002-9-23,24,20,17,19,17,14,94,78,53,1011,1008,1006,10,9,6,47,8,64,0.00,6,Rain-Thunderstorm,321
2002-9-24,26,22,18,19,17,14,94,80,61,1012,1009,1005,10,10,10,27,8,,0.00,4,Rain,103
2002-9-25,24,21,18,19,17,16,94,80,65,1014,1011,1009,10,9,3,42,8,,0.00,4,Rain,199
2002-9-26,26,21,17,19,17,14,94,77,54,1009,1007,1005,10,10,6,13,3,,0.00,3,,219
2002-9-27,23,18,14,14,11,8,88,61,41,1015,1011,1007,10,10,10,24,6,,0.00,2,,353
2002-9-28,21,17,13,16,12,8,88,76,49,1017,1016,1015,10,10,10,21,6,,0.00,6,,323
2002-9-29,19,17,15,16,14,13,94,85,77,1017,1017,1016,10,9,6,27,8,,0.00,6,Rain,323
2002-9-30,23,18,13,14,13,11,94,73,53,1019,1017,1017,10,10,7,23,6,,0.00,3,Rain,322
