EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-9-1,34,27,19,19,15,9,83,57,24,1015,1013,1012,10,10,10,16,6,,0.00,1,,200
2011-9-2,34,27,19,18,13,10,69,48,26,1014,1012,1010,10,10,10,24,8,,0.00,1,,170
2011-9-3,33,27,20,19,15,12,73,52,28,1015,1013,1012,10,10,10,24,10,,0.00,1,,209
2011-9-4,31,26,21,19,17,14,73,59,40,1018,1017,1016,10,10,10,21,8,,0.00,1,,193
2011-9-5,32,26,19,19,15,10,73,58,26,1019,1018,1016,,,,24,10,,0.00,,,148
2011-9-6,29,24,20,20,16,13,83,58,40,1018,1016,1015,10,10,10,34,6,,0.00,5,Rain-Thunderstorm,246
2011-9-7,24,22,20,20,18,16,100,80,61,1018,1014,1011,10,10,8,23,11,,0.00,5,Rain-Thunderstorm,344
2011-9-8,30,24,18,19,17,15,94,72,43,1011,1009,1008,10,10,10,16,8,,0.00,2,,149
2011-9-9,32,26,19,20,17,13,78,61,31,1013,1010,1008,10,10,10,14,8,,0.00,1,,197
2011-9-10,29,24,20,18,16,13,78,58,40,1019,1017,1014,10,10,10,23,10,,0.00,1,,190
2011-9-11,30,24,19,19,17,15,83,67,40,1019,1018,1016,10,10,10,23,10,,0.00,1,,173
2011-9-12,29,24,19,21,18,17,88,70,51,1016,1015,1013,10,10,10,21,8,,0.00,2,,158
2011-9-13,33,27,20,20,17,12,83,59,31,1015,1014,1012,10,10,10,19,6,,0.00,1,,164
2011-9-14,34,27,19,19,12,6,65,45,17,1015,1014,1013,10,10,10,14,8,,0.00,1,,157
2011-9-15,33,26,19,20,14,9,74,51,26,1014,1014,1012,,,,23,10,,0.00,,,181
2011-9-16,33,26,19,21,14,8,83,54,23,1016,1015,1013,,,,19,6,,0.00,,,195
2011-9-17,33,26,19,18,12,8,69,46,21,1016,1015,1014,,,,16,8,,0.00,,,203
2011-9-18,31,26,21,19,13,7,69,48,25,1014,1013,1011,10,10,10,23,8,,0.00,2,,189
2011-9-19,28,23,19,17,13,9,69,53,42,1015,1013,1012,10,10,10,27,11,,0.00,2,,147
2011-9-20,28,23,19,17,14,12,73,58,42,1015,1012,1007,10,10,10,27,10,47,0.00,5,Rain,123
2011-9-21,22,19,16,18,16,13,100,84,64,1012,1010,1008,10,10,5,39,19,52,0.00,7,Rain-Thunderstorm,345
2011-9-22,26,22,19,15,14,11,78,62,39,1013,1012,1011,10,10,10,27,16,,0.00,5,Rain,326
2011-9-23,27,21,15,14,12,10,82,58,34,1015,1014,1013,10,10,10,24,8,,0.00,1,,269
2011-9-24,28,21,15,15,13,9,82,59,30,1017,1015,1014,10,10,10,13,8,,0.00,1,,154
2011-9-25,28,22,16,16,13,11,77,62,35,1022,1020,1018,10,10,10,16,8,,0.00,2,,131
2011-9-26,26,21,17,16,14,12,83,66,47,1024,1023,1022,10,10,10,19,6,,0.00,3,,145
2011-9-27,24,19,14,13,11,9,88,60,41,1025,1025,1023,10,10,10,16,8,,0.00,2,,151
2011-9-28,25,19,14,12,11,9,77,60,41,1025,1023,1021,10,10,10,23,6,,0.00,1,,164
2011-9-29,26,19,12,14,9,6,88,58,30,1023,1022,1019,,,,19,10,,0.00,,,153
2011-9-30,25,20,16,14,8,3,68,44,27,1024,1022,1020,10,10,10,29,13,,0.00,2,,339
