EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2003-9-1,34,28,22,17,14,12,64,43,26,1011,1009,1007,10,10,10,29,10,45,0.00,3,,337
2003-9-2,31,26,22,20,17,13,69,55,42,1013,1012,1010,10,10,10,23,5,,0.00,2,,242
2003-9-3,27,23,21,19,13,8,69,52,42,1019,1016,1013,10,10,10,47,16,,0.00,5,,335
2003-9-4,24,19,15,12,6,1,82,42,22,1023,1022,1019,10,10,8,35,24,,0.00,4,Rain,341
2003-9-5,25,19,14,8,4,0,67,39,21,1025,1022,1020,10,10,10,23,5,,0.00,1,,308
2003-9-6,27,19,12,12,8,3,77,47,21,1021,1020,1019,10,10,10,19,5,,0.00,1,,296
2003-9-7,25,20,16,14,12,10,77,55,41,1022,1021,1020,10,10,10,21,5,,0.00,2,,177
2003-9-8,24,20,17,14,11,9,77,57,38,1020,1016,1012,10,10,10,84,8,,0.00,6,Rain,135
2003-9-9,24,20,17,17,16,13,83,74,61,1012,1010,1009,10,10,10,19,6,,0.00,5,Rain,292
2003-9-10,26,22,18,19,17,15,94,80,65,1012,1010,1007,10,9,3,34,3,,0.00,5,Rain-Thunderstorm,295
2003-9-11,27,21,16,18,16,15,94,73,54,1009,1008,1007,10,9,6,21,5,,0.00,2,,279
2003-9-12,26,23,19,16,13,10,64,52,39,1013,1010,1009,10,10,10,27,14,,0.00,2,,331
2003-9-13,24,20,17,12,11,9,64,55,44,1015,1014,1013,10,10,10,27,19,,0.00,3,,336
2003-9-14,23,18,13,12,9,8,77,54,41,1020,1017,1015,10,10,10,21,10,,0.00,3,,342
2003-9-15,24,20,17,11,8,6,64,47,36,1022,1021,1020,10,10,10,21,8,,0.00,3,,326
2003-9-16,24,20,17,13,11,8,77,56,44,1022,1021,1020,10,10,10,19,10,,0.00,4,,31
2003-9-17,26,20,14,13,12,8,88,60,32,1023,1021,1021,10,10,10,21,5,,0.00,3,,285
2003-9-18,27,21,15,15,12,10,82,61,34,1023,1021,1020,10,10,10,19,8,,0.00,1,,250
2003-9-19,25,20,15,16,14,11,78,68,50,1025,1024,1022,10,10,10,19,8,,0.00,2,,133
2003-9-20,25,20,16,17,14,12,83,70,54,1026,1025,1024,10,9,7,13,3,,0.00,2,,275
2003-9-21,26,20,14,15,12,9,82,63,42,1026,1025,1024,10,10,10,14,3,,0.00,1,,275
2003-9-22,29,21,13,14,11,6,77,57,25,1024,1022,1019,8,8,7,14,6,,0.00,0,,293
2003-9-23,27,20,14,17,12,7,83,61,47,1019,1017,1016,10,10,10,16,5,,0.00,1,,163
2003-9-24,27,21,15,17,14,12,88,68,39,1018,1017,1016,8,8,7,14,5,,0.00,0,,163
2003-9-25,26,20,15,17,15,12,82,68,51,1022,1020,1018,10,9,7,19,5,,0.00,1,,265
2003-9-26,23,21,18,15,13,12,78,62,50,1024,1022,1021,10,10,10,19,6,,0.00,4,,299
2003-9-27,25,20,16,16,13,12,78,69,47,1022,1021,1020,10,9,8,13,5,,0.00,2,,205
2003-9-28,25,20,15,17,14,12,82,73,50,1021,1020,1018,10,9,8,14,5,,0.00,2,,126
2003-9-29,25,20,15,17,14,11,88,71,41,1018,1016,1014,10,10,8,19,8,,0.00,4,,133
2003-9-30,24,19,15,16,13,10,82,65,50,1015,1014,1013,10,10,10,19,5,,0.00,2,,107
