EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2001-9-1,31,24,19,19,16,11,73,57,43,1014,1013,1011,10,10,10,26,10,,0.00,2,,167
2001-9-2,31,26,20,21,17,14,78,62,40,1012,1010,1009,10,10,10,27,3,,0.00,4,,294
2001-9-3,29,26,22,17,13,9,65,47,30,1015,1013,1009,10,10,10,37,14,,0.00,1,,347
2001-9-4,30,23,16,18,13,7,73,51,33,1017,1015,1013,10,10,10,23,11,,0.00,1,,250
2001-9-5,31,24,19,21,16,12,83,61,35,1013,1007,999,10,10,8,35,10,,0.00,3,Rain,159
2001-9-6,27,22,17,16,13,9,77,55,39,1004,1001,1000,10,10,10,39,11,,0.00,2,,320
2001-9-7,26,22,18,13,11,10,64,49,41,1009,1006,1004,10,10,10,34,18,47,0.00,3,,349
2001-9-8,27,23,19,12,10,8,60,45,30,1012,1011,1009,10,10,10,37,19,,0.00,1,,335
2001-9-9,31,23,15,17,12,8,72,52,25,1012,1010,1008,10,10,10,23,13,,0.00,3,,122
2001-9-10,32,24,18,17,14,11,68,51,33,1008,1007,1005,10,10,10,27,10,,0.00,3,,150
2001-9-11,29,24,20,17,13,7,69,49,25,1011,1006,1005,10,10,10,37,16,,0.00,2,,352
2001-9-12,25,20,16,8,7,5,55,41,29,1016,1014,1011,10,10,10,39,27,,0.00,1,,335
2001-9-13,26,19,12,11,7,4,64,46,29,1019,1017,1016,10,10,10,19,8,,0.00,1,,158
2001-9-14,28,22,16,18,13,9,68,57,42,1017,1015,1013,10,10,10,21,10,,0.00,1,,158
2001-9-15,28,22,16,16,13,9,73,60,35,1015,1013,1011,10,10,10,23,5,,0.00,4,,174
2001-9-16,29,22,16,17,14,8,82,62,40,1012,1009,1007,10,10,10,23,3,,0.00,2,,216
2001-9-17,30,25,20,18,15,12,78,57,37,1009,1008,1006,10,9,8,23,10,,0.00,1,,140
2001-9-18,30,23,17,18,14,11,73,59,40,1015,1013,1009,10,10,10,23,10,,0.00,1,,198
2001-9-19,29,23,17,19,15,10,83,64,45,1018,1017,1015,10,10,10,14,3,,0.00,1,,234
2001-9-20,31,24,18,18,15,11,83,58,31,1018,1017,1015,10,9,8,19,5,,0.00,1,,315
2001-9-21,27,23,19,20,16,9,83,64,46,1017,1015,1014,10,10,10,16,3,,0.00,4,,261
2001-9-22,28,24,20,21,18,16,83,73,58,1016,1015,1014,10,10,10,23,6,,0.00,3,,154
2001-9-23,29,23,18,19,17,14,88,67,40,1017,1016,1015,10,10,10,21,5,,0.00,3,,164
2001-9-24,30,24,18,21,18,14,83,73,55,1016,1015,1013,,,,21,5,,0.00,,,277
2001-9-25,33,26,18,21,19,16,94,73,46,1013,1011,1009,10,9,7,14,2,,0.00,3,,279
2001-9-26,30,27,23,19,16,12,73,56,33,1013,1011,1009,10,10,10,27,11,,0.00,2,,270
2001-9-27,24,20,17,19,12,9,73,58,49,1018,1013,1010,10,10,10,53,31,74,0.00,4,,343
2001-9-28,23,17,11,11,8,6,76,56,36,1020,1019,1017,10,10,10,21,11,,0.00,2,,307
2001-9-29,25,18,12,13,11,8,82,60,41,1021,1019,1019,,,,16,10,,0.00,,,178
2001-9-30,26,19,13,17,13,7,83,65,54,1021,1020,1019,10,10,10,23,10,,0.00,1,,148
