EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2005-9-1,26,23,22,19,16,14,73,62,53,1017,1015,1015,10,10,10,14,5,,0.00,5,Rain,35
2005-9-2,29,24,20,18,17,12,83,63,45,1019,1017,1016,10,10,10,23,6,,0.00,2,Thunderstorm,222
2005-9-3,30,24,19,18,16,12,83,63,35,1022,1020,1019,10,10,10,26,10,,0.00,2,,158
2005-9-4,26,23,20,16,13,12,78,56,42,1024,1023,1022,10,10,10,21,8,,0.00,5,Rain,155
2005-9-5,26,23,18,14,12,6,68,52,28,1023,1022,1021,10,10,10,23,10,,0.00,5,,145
2005-9-6,26,21,16,15,13,11,73,59,39,1021,1020,1019,10,10,10,19,8,,0.00,4,,295
2005-9-7,28,22,16,16,13,10,77,58,35,1021,1020,1019,10,10,10,19,10,,0.00,2,,170
2005-9-8,29,23,18,18,16,13,83,64,37,1022,1022,1021,10,10,10,23,8,,0.00,2,,178
2005-9-9,28,22,17,18,16,12,82,66,37,1022,1020,1018,10,10,10,24,10,,0.00,1,,149
2005-9-10,29,24,19,18,14,10,78,56,30,1018,1015,1013,10,10,10,24,10,,0.00,3,,148
2005-9-11,29,23,18,18,12,7,61,48,37,1014,1013,1011,10,10,10,23,10,,0.00,2,,137
2005-9-12,30,24,18,18,14,10,65,54,29,1015,1014,1013,10,10,10,23,8,,0.00,2,,184
2005-9-13,31,26,20,18,16,12,73,58,31,1018,1017,1015,10,10,10,23,5,,0.00,3,,230
2005-9-14,27,24,22,19,17,16,78,66,54,1018,1016,1015,10,9,8,29,5,,0.00,6,Rain,346
2005-9-15,26,23,20,19,16,13,78,64,47,1015,1011,1009,10,10,10,23,14,,0.00,5,Rain,344
2005-9-16,28,24,21,15,14,11,64,53,37,1010,1009,1007,10,10,10,23,16,,0.00,4,,323
2005-9-17,30,24,18,18,14,12,73,56,40,1012,1010,1009,10,10,10,23,10,,0.00,1,,164
2005-9-18,30,24,19,21,17,13,83,65,48,1017,1014,1012,10,10,10,24,5,,0.00,1,,228
2005-9-19,27,22,18,21,18,15,88,74,58,1017,1014,1012,10,10,7,52,5,71,0.00,3,Rain-Thunderstorm,180
2005-9-20,28,22,16,17,15,11,94,66,37,1013,1011,1009,10,10,10,26,8,,0.00,4,Rain-Thunderstorm,272
2005-9-21,21,20,19,18,15,12,94,75,64,1013,1011,1009,10,10,6,32,13,,0.00,6,Rain-Thunderstorm,349
2005-9-22,25,20,16,16,13,12,82,63,44,1016,1015,1013,10,10,10,26,13,,0.00,2,,335
2005-9-23,24,21,19,15,12,10,78,55,44,1017,1016,1014,10,10,10,21,10,,0.00,4,,333
2005-9-24,23,20,18,15,13,10,83,63,44,1016,1015,1014,10,10,10,23,8,,0.00,6,,295
2005-9-25,23,20,17,16,14,12,83,68,53,1017,1016,1016,10,10,7,19,5,,0.00,4,Rain,97
2005-9-26,26,20,15,16,14,12,88,68,42,1021,1019,1017,10,9,8,16,8,,0.00,1,,175
2005-9-27,26,21,16,17,14,12,83,69,42,1022,1021,1020,10,10,10,13,8,,0.00,3,,167
2005-9-28,25,21,17,16,14,11,88,72,50,1021,1020,1019,10,10,6,27,5,,0.00,4,Thunderstorm,118
2005-9-29,26,20,14,15,13,12,94,70,42,1021,1019,1017,10,8,2,16,6,,0.00,2,,147
2005-9-30,26,21,17,18,13,9,83,63,38,1018,1015,1012,10,10,10,23,11,,0.00,4,Rain-Thunderstorm,126
