EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-9-1,33,26,19,19,16,14,73,53,28,1016,1014,1012,10,10,10,16,10,,0.00,1,,158
2015-9-2,34,23,12,19,16,12,83,58,22,1012,1011,1009,10,10,10,19,10,,0.00,1,,182
2015-9-3,34,26,18,19,16,12,83,58,19,1011,1010,1009,10,10,10,21,8,,0.00,1,,155
2015-9-4,36,27,18,18,14,5,78,49,12,1013,1011,1010,10,10,10,21,8,,0.00,1,,156
2015-9-5,36,27,18,21,16,11,78,50,19,1014,1012,1011,10,10,10,27,10,,0.00,1,,177
2015-9-6,37,29,21,21,16,9,78,50,13,1012,1011,1009,10,10,10,19,6,,0.00,3,,277
2015-9-7,30,27,23,18,12,9,65,41,20,1015,1013,1012,10,10,10,29,16,,0.00,4,Rain,297
2015-9-8,27,23,19,19,16,12,94,62,33,1017,1015,1013,10,10,6,34,10,52,0.00,5,Rain-Thunderstorm,27
2015-9-9,24,21,19,17,14,10,88,64,32,1019,1017,1016,10,10,10,19,10,,0.76,7,Rain,281
2015-9-10,26,22,18,21,18,16,94,81,61,1016,1014,1012,10,9,7,19,11,,3.05,7,Rain,295
2015-9-11,29,24,20,20,19,16,94,72,40,1016,1015,1014,10,10,8,45,8,63,0.00,4,,271
2015-9-12,29,24,21,18,15,13,78,55,32,1019,1017,1016,10,10,10,45,21,34,0.00,2,,324
2015-9-13,28,23,18,17,16,14,94,68,34,1020,1019,1018,10,10,10,14,10,,0.00,2,,155
2015-9-14,28,23,17,18,14,11,88,62,25,1020,1019,1017,14,10,10,16,8,,0.00,2,,172
2015-9-15,28,22,16,18,15,12,83,64,36,1020,1017,1016,10,10,10,19,10,,0.00,1,,151
2015-9-16,28,23,17,18,17,16,88,69,38,1018,1017,1015,10,10,10,16,10,,0.00,1,,157
2015-9-17,29,23,18,20,17,16,88,69,38,1017,1016,1014,10,10,10,16,8,,0.00,1,,233
2015-9-18,33,26,18,21,17,14,88,65,23,1016,1015,1014,10,10,9,13,8,,0.00,1,,169
2015-9-19,31,25,19,21,18,15,83,63,36,1016,1015,1013,10,10,10,21,8,,0.00,1,,189
2015-9-20,29,24,19,19,17,14,88,66,29,1014,1010,1007,10,10,10,23,10,,0.00,1,,138
2015-9-21,26,22,18,20,17,15,94,78,51,1010,1008,1006,10,9,4,37,16,,24.89,6,Rain-Thunderstorm,330
2015-9-22,23,20,18,18,17,16,94,79,61,1010,1009,1008,10,9,4,29,10,,4.06,6,Rain-Thunderstorm,311
2015-9-23,28,23,19,19,17,12,94,70,36,1011,1009,1008,10,10,10,19,8,,0.00,4,,258
2015-9-24,27,22,17,18,17,15,94,73,46,1012,1011,1010,10,10,9,19,10,,0.00,4,Thunderstorm,122
2015-9-25,26,22,19,19,18,16,88,74,54,1013,1012,1011,10,10,10,14,6,,0.00,5,Rain-Thunderstorm,222
2015-9-26,25,21,17,20,18,16,96,86,65,1012,1011,1010,10,9,1,19,6,,62.99,7,Rain-Thunderstorm,284
2015-9-27,24,20,16,19,16,12,94,75,37,1016,1014,1012,10,10,9,34,18,32,0.00,5,Rain,319
2015-9-28,22,20,17,17,14,9,88,68,49,1017,1016,1015,10,10,10,29,16,47,0.00,5,Rain,340
2015-9-29,23,20,17,17,13,11,78,65,46,1020,1018,1017,10,10,10,34,21,37,0.00,4,,326
2015-9-30,18,17,16,15,13,10,94,77,53,1025,1022,1019,10,10,9,14,6,,0.76,6,Rain,172
