EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2012-9-1,30,23,17,17,14,11,73,54,27,1019,1017,1016,14,10,10,19,10,,0.00,1,,156
2012-9-2,29,23,18,17,14,10,78,53,27,1021,1020,1018,10,10,10,19,10,,0.00,1,,195
2012-9-3,29,23,17,17,14,11,73,57,36,1020,1017,1014,10,10,10,21,10,,0.00,1,,200
2012-9-4,29,23,16,18,16,11,82,63,42,1016,1014,1012,10,10,10,23,10,,0.00,1,,191
2012-9-5,30,23,17,19,17,13,83,63,29,1015,1013,1011,10,10,10,23,6,,0.00,,,218
2012-9-6,31,24,18,20,18,15,83,67,30,1014,1012,1010,14,10,10,24,8,,0.00,2,,231
2012-9-7,31,27,22,18,14,10,73,47,23,1016,1015,1013,10,10,10,24,16,,0.00,4,,301
2012-9-8,30,25,20,17,13,6,73,51,22,1018,1016,1014,10,10,10,19,8,,0.00,3,,225
2012-9-9,31,23,16,16,11,8,77,47,18,1018,1016,1014,10,10,10,19,8,,0.00,1,,210
2012-9-10,29,24,19,17,13,9,73,52,27,1021,1019,1016,10,10,10,21,10,,0.00,3,,202
2012-9-11,28,23,18,15,13,9,73,53,30,1020,1017,1015,10,10,10,24,10,,0.00,2,,186
2012-9-12,27,22,17,15,13,12,68,56,34,1016,1013,1009,10,10,10,23,10,,0.00,3,,160
2012-9-13,28,22,16,15,13,9,77,53,30,1011,1008,1006,10,10,10,26,8,,0.00,2,,148
2012-9-14,28,23,19,20,17,13,88,68,39,1013,1010,1007,10,10,7,34,10,,2.03,6,Rain-Thunderstorm,140
2012-9-15,22,21,19,20,17,16,94,80,64,1012,1010,1008,10,10,8,34,11,,4.06,7,Rain-Thunderstorm,116
2012-9-16,24,21,18,17,16,15,88,74,57,1011,1010,1009,10,10,10,34,6,,0.51,6,Rain,322
2012-9-17,23,21,18,18,17,15,94,78,50,1015,1013,1011,10,10,10,23,10,,2.03,6,Rain-Thunderstorm,325
2012-9-18,26,22,18,19,17,14,94,78,38,1015,1014,1013,10,10,10,19,6,,0.51,4,Rain,189
2012-9-19,26,22,18,18,17,15,88,73,43,1014,1013,1011,10,10,10,19,8,,0.00,2,,149
2012-9-20,26,22,18,19,16,9,88,74,52,1014,1012,1010,10,10,10,39,8,39,2.03,3,Rain-Thunderstorm,285
2012-9-21,21,18,16,9,6,3,59,44,24,1018,1017,1014,10,10,10,55,37,74,0.00,1,,342
2012-9-22,23,19,13,8,4,2,67,40,17,1019,1017,1016,10,10,10,24,16,,0.00,,,325
2012-9-23,26,18,11,13,8,4,76,51,24,1021,1018,1017,10,10,10,13,5,,0.00,,,206
2012-9-24,27,20,13,17,12,9,77,61,42,1017,1015,1012,10,10,10,19,8,,0.00,,,121
2012-9-25,26,20,14,19,14,10,78,67,45,1012,1011,1010,10,10,10,19,6,,0.00,2,,320
2012-9-26,32,24,17,18,14,8,88,58,16,1015,1013,1012,10,10,10,19,6,,0.00,4,,340
2012-9-27,31,23,16,16,14,11,78,57,25,1017,1016,1015,10,10,10,13,6,,0.00,1,,235
2012-9-28,32,24,17,17,14,10,83,59,26,1019,1017,1016,10,10,10,14,5,,0.00,1,,259
2012-9-29,32,24,17,18,14,9,83,57,24,1020,1018,1017,10,10,10,14,6,,0.00,,,209
2012-9-30,32,23,16,17,14,11,82,55,20,1019,1018,1017,10,10,10,14,5,,0.00,,,209
